Gender,Height,Weight,Age
Male,73.84701702,241.8935632,23
Male,68.78190405,162.3104725,22
Male,74.11010539,212.7408556,22
Male,71.7309784,220.0424703,26
Male,69.88179586,206.3498006,24
Male,67.25301569,152.2121558,24
Male,68.78508125,183.9278886,26
Male,68.34851551,167.9711105,25
Male,67.01894966,175.9294404,25
Male,63.45649398,156.3996764,23
Male,71.19538228,186.6049256,26
Male,71.64080512,213.7411695,27
Male,64.76632913,167.1274611,32
Male,69.2830701,189.4461814,30
Male,69.24373223,186.434168,35
Male,67.6456197,172.1869301,35
Male,72.41831663,196.0285063,34
Male,63.97432572,172.8834702,32
Male,69.6400599,185.9839576,28
Male,67.93600485,182.426648,33
Male,67.91505019,174.1159291,28
Male,69.43943987,197.7314216,28
Male,66.14913196,149.173566,31
Male,75.20597361,228.7617806,32
Male,67.89319634,162.0066518,28
Male,68.1440328,192.3439766,27
Male,69.08963143,184.4351744,34
Male,72.80084352,206.8281894,31
Male,67.42124228,175.2139224,27
Male,68.49641536,154.3426389,29
Male,68.61811055,187.5068432,32
Male,74.03380762,212.9102253,29
Male,71.52821604,195.0322432,27
Male,69.1801611,205.1836213,41
Male,69.57720237,204.1641255,41
Male,70.40092889,192.9035151,49
Male,69.07617117,197.4882426,40
Male,67.19352328,183.8109732,50
Male,65.80731565,163.8518249,46
Male,64.30418789,163.1080171,50
Male,67.97433623,172.1355974,45
Male,72.18942596,194.0454049,44
Male,65.27034552,168.6177462,48
Male,66.09017738,161.1934326,41
Male,67.51032152,164.6602773,39
Male,70.10478626,188.9223032,43
Male,68.25183644,187.0605522,40
Male,72.17270912,209.0708634,39
Male,69.17985762,192.0143354,45
Male,72.87036015,211.3424968,47
Male,64.78258298,165.6116262,47
Male,70.18354989,201.0719181,40
Male,68.49145025,173.4239603,51
Male,67.33083088,181.4076793,49
Male,66.99094408,169.7377074,42
Male,66.4995499,163.3095283,54
Male,68.35305665,189.7102099,58
Male,70.77445907,192.1248473,62
Male,71.21592367,198.1984641,54
Male,70.01336535,209.5264998,61
Male,71.40318222,198.7597927,62
Male,69.55200509,198.0795237,56
Male,73.81853456,195.2906122,54
Male,66.99688275,164.943303,61
Male,71.41846589,179.8639023,57
Male,65.27930021,155.2504207,55
Male,68.27419147,184.5193912,54
Male,72.76536995,220.6780415,55
Male,68.0993798,183.3126553,54
Male,68.89670607,196.4513123,55
Male,69.28950996,184.5956083,62
Male,70.52322452,207.5328385,55
Male,69.66372523,177.2009288,56
Male,67.59526881,163.1080022,55
Male,72.50812038,216.2182301,61
Male,71.2529856,204.6554938,61
Male,71.80918689,200.9205712,57
Male,72.24516548,220.9017699,69
Male,66.51262766,196.4498603,81
Male,66.029034,168.64081,66
Male,67.57715394,181.432713,67
Male,68.2465686,198.6586733,64
Male,73.826127,237.9167359,64
Male,69.80246436,173.0412559,70
Male,65.95957778,160.6839166,72
Male,71.07901758,188.6029191,67
Male,66.59619654,208.345694,72
Male,68.95153509,193.4351185,64
Male,68.24446179,174.1096938,46
Male,72.31682512,197.3685892,48
Male,71.81542045,201.6206667,46
Male,65.23704952,181.0119732,44
Male,70.64053009,182.122486,47
Male,64.7319256,177.5492634,46
Male,67.10355118,164.9745807,47
Male,65.11748489,165.7171122,53
Male,71.70123402,193.0941635,38
Male,66.83287821,180.683887,50
Male,66.47127526,172.7737229,46
Male,69.41152622,177.4706162,47
Male,70.05217747,200.8187373,49
Male,66.74360465,167.7397753,48
Male,66.27432912,154.3956248,41
Male,68.32844799,177.9847286,49
Male,70.0758882,183.938857,43
Male,68.73298815,179.2047821,43
Male,67.55605126,158.5679874,43
Male,66.25363253,166.5035316,52
Male,69.18220268,171.9836776,43
Male,67.60910494,174.3641824,40
Male,69.29273802,187.7453519,43
Male,68.19068401,201.4879624,43
Male,71.6070858,204.9270121,47
Male,69.19685751,178.6855465,42
Male,67.26196098,164.0144277,48
Male,73.6851934,223.2700044,40
Male,69.53721501,202.9583063,48
Male,68.31155984,189.3917856,51
